,Внешний код,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст
1659,SU163928,Департамент инфраструктурных решений и сервисов,,группа инженеров поддержки баз данных,Системный инженер,нет,"3 г., 3 мес.,24 дн.",Мужской,24
1664,SU191423,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа тестировщиков,Инженер-тестировщик,нет,"2 г., 0 мес.,28 дн.",Мужской,25
1667,SU196801,Департамент бизнес-приложений,,группа консультантов по производству,"Ведущий консультант по внедрению бизнес-приложений, Тимлид",ТЛ,"1 г., 1 мес.,21 дн.",Женский,35
1671,SU57739,Департамент продаж и менеджмента проектов,,группа управления проектами по техническому консалтингу,Старший менеджер проектов,нет,"12 г., 2 мес.,18 дн.",Мужской,35
1673,SU172684,Правовой департамент,группа комплексного сопровождения проектов,,Юрист,нет,"3 г., 1 мес.,11 дн.",Мужской,28
1677,SU64651,Департамент инфраструктурных решений и сервисов,группа поддержки продаж решений по программной инфраструктуре,,Руководитель группы,РМ,"11 г., 6 мес.,17 дн.",Женский,34
1678,SU66486,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"11 г., 3 мес.,1 дн.",Мужской,37
1685,SU197954,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа инженеров разработки облака,Инженер,нет,"0 г., 9 мес.,16 дн.",Мужской,35
1687,SU173351,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа технических менеджеров по информационной безопасности,Старший технический менеджер,нет,"3 г., 0 мес.,27 дн.",Мужской,44
1688,SU136367,Департамент телекоммуникаций,,группа технических менеджеров,Технический менеджер,нет,"4 г., 9 мес.,12 дн.",Мужской,37
1689,SU196934,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Младший инженер,нет,"1 г., 3 мес.,27 дн.",Мужской,21
1698,SU195113,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,Младший инженер,нет,"1 г., 10 мес.,19 дн.",Мужской,23
1700,SU125577,Правовой департамент,группа комплексного сопровождения проектов,,Юрист,нет,"5 г., 2 мес.,13 дн.",Женский,28
1703,SU197019,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,Младший инженер,нет,"1 г., 3 мес.,8 дн.",Мужской,22
1709,SU163517,Департамент по работе с персоналом,отдел кадров,,HR-менеджер,нет,"3 г., 4 мес.,23 дн.",Женский,27
1713,SU41089,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Эксперт,нет,"14 г., 1 мес.,10 дн.",Мужской,48
1714,SU194884,Департамент внутренней автоматизации,,центральная служба технической поддержки,Инженер технической поддержки,нет,"1 г., 10 мес.,27 дн.",Женский,24
1717,SU155531,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа разработчиков,Инженер-разработчик,нет,"3 г., 10 мес.,18 дн.",Мужской,24
1723,SU169156,Департамент бизнес-приложений,группа поддержки продаж,,"Менеджер по продвижению решений, Тимлид",ТЛ,"3 г., 1 мес.,19 дн.",Мужской,23
1728,SU194664,Департамент бизнес-приложений,,Группа аналитиков по автоматизации бизнес-процессов,Младший консультант по внедрению бизнес-приложений,нет,"1 г., 11 мес.,4 дн.",Мужской,22
1729,SU178798,Департамент инфраструктурных решений и сервисов,группа разработки частных облаков,,Старший инженер-разработчик,нет,"2 г., 10 мес.,26 дн.",Мужской,27
1733,SU40671,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы""",Технический менеджер,ТЛ,"14 г., 2 мес.,23 дн.",Мужской,46
1739,SU152071,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа разработчиков,Старший инженер-разработчик,нет,"4 г., 0 мес.,27 дн.",Мужской,26
1745,SU169302,Департамент продаж и менеджмента проектов,,группа менеджеров по работе с корпоративными клиентами,"Менеджер по работе с корпоративными клиентами, Тимлид",ТЛ,"3 г., 2 мес.,7 дн.",Женский,24
1748,SU197474,Департамент разработки программного обеспечения,Интеграционные решения,,Менеджер по продвижению решений,ТЛ,"1 г., 1 мес.,6 дн.",Женский,27
1752,SU40207,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,Старший сервис-менеджер,нет,"14 г., 3 мес.,13 дн.",Женский,36
1755,SU163534,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа аналитиков по информационной безопасности,Старший системный аналитик,нет,"3 г., 4 мес.,1 дн.",Женский,25
1762,SU197176,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Младший системный инженер,нет,"1 г., 2 мес.,18 дн.",Мужской,21
1764,SU196845,Департамент инфраструктурных решений и сервисов,группа инженеров технической поддержки,,Инженер технической поддержки,нет,"1 г., 3 мес.,26 дн.",Мужской,31
1771,SU176216,Департамент инженерных и мультимедийных систем,Группа систем безопасности,,Инженер,нет,"2 г., 11 мес.,16 дн.",Мужской,25
1772,SU196158,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Системный инженер,нет,"1 г., 8 мес.,19 дн.",Мужской,42
1776,SU50929,Департамент инженерных и мультимедийных систем,группа инженеров по мультимедийным системам,,Эксперт,нет,"12 г., 6 мес.,28 дн.",Мужской,35
1778,SU470,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа аналитиков по информационной безопасности,Старший системный аналитик,нет,"16 г., 8 мес.,21 дн.",Женский,41
1782,SU184805,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа внедрения и эксплуатации облачных ИТ-инфраструктур,"Старший инженер, Тимлид",РМ,"2 г., 7 мес.,4 дн.",Мужской,26
1789,SU122318,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа разработчиков,Инженер-разработчик,нет,"5 г., 2 мес.,12 дн.",Мужской,27
1805,SU2507,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа технических менеджеров,Технический менеджер комплексных проектов,РМ,"20 г., 4 мес.,27 дн.",Мужской,42
1815,SU190316,Департамент бизнес-приложений,,группа консультантов по технической архитектуре и разработке,Старший консультант по внедрению бизнес-приложений,нет,"2 г., 1 мес.,26 дн.",Мужской,28
1817,SU161127,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Инженер,нет,"3 г., 6 мес.,25 дн.",Мужской,22
1819,SU197819,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Инженер,нет,"0 г., 11 мес.,11 дн.",Женский,28
1830,SU196383,Департамент инфраструктурных решений и сервисов,группа менеджеров по работе с партнерами,,Менеджер по работе с партнерами,нет,"1 г., 7 мес.,16 дн.",Женский,25
1832,SU71145,Департамент инфраструктурных решений и сервисов,,группа UNIX и Open Source,Технический менеджер,нет,"10 г., 7 мес.,14 дн.",Мужской,33
1848,SU166245,Правовой департамент,группа Корпоративного сопровождения,,Юрист,нет,"3 г., 3 мес.,11 дн.",Мужской,29
1849,SU196341,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Ведущий инженер-тестировщик,нет,"1 г., 7 мес.,12 дн.",Мужской,52
1851,SU601,Департамент продаж и менеджмента проектов,,группа управления проектами по телекоммуникациям,Руководитель группы,РМ,"18 г., 4 мес.,6 дн.",Женский,40
1853,SU154810,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа развития бизнеса,Сервис-менеджер,нет,"3 г., 10 мес.,11 дн.",Мужской,37
1860,SU40848,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по программной инфраструктуре,,Старший технический менеджер,нет,"14 г., 1 мес.,12 дн.",Мужской,37
1866,SU79035,Департамент бизнес-приложений,группа технических менеджеров по 1С,,Технический менеджер,нет,"9 г., 6 мес.,19 дн.",Мужской,35
1867,SU197515,Департамент инфраструктурных решений и сервисов,группа обеспечения сервисных контрактов,,Младший инженер,нет,"1 г., 1 мес.,13 дн.",Мужской,24
1869,SU197824,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,Технический менеджер сервисных проектов,нет,"0 г., 11 мес.,18 дн.",Женский,28
1871,SU197051,Департамент по работе с персоналом,отдел рекрутинга,,Младший HR-менеджер,нет,"1 г., 1 мес.,27 дн.",Женский,21
1875,SU135732,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Менеджер по продажам решений,нет,"4 г., 10 мес.,23 дн.",Женский,28
1876,SU197710,Департамент продаж и менеджмента проектов,,группа сметчиков,Ведущий инженер-сметчик,нет,"0 г., 11 мес.,24 дн.",Женский,33
1877,SU132315,Департамент инфраструктурных решений и сервисов,группа инженеров технической поддержки,,Руководитель группы,РМ,"4 г., 11 мес.,24 дн.",Мужской,41
1878,SU197144,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Инженер,нет,"1 г., 2 мес.,18 дн.",Мужской,32
1880,SU197706,Департамент инженерных и мультимедийных систем,группа инженеров по мультимедийным системам,,Инженер,нет,"1 г., 0 мес.,2 дн.",Мужской,35
1883,SU196232,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Младший инженер,нет,"1 г., 8 мес.,18 дн.",Женский,23
1886,SU196565,Департамент инженерных и мультимедийных систем,Группа систем безопасности,,Младший инженер,нет,"1 г., 6 мес.,11 дн.",Мужской,24
1887,SU157666,Департамент продаж и менеджмента проектов,,группа управления проектами по телекоммуникациям,Менеджер проектов,нет,"3 г., 8 мес.,24 дн.",Женский,37
1890,SU2531,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа технических менеджеров,Руководитель комплексных проектов,РМ,"18 г., 11 мес.,24 дн.",Мужской,42
1895,SU100262,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа развития бизнеса,Менеджер по продвижению решений,нет,"6 г., 6 мес.,14 дн.",Мужской,28
1898,SU196601,Департамент инфраструктурных решений и сервисов,Информационная безопасность,Центр мониторинга безопасности,Младший аналитик SOC,нет,"1 г., 5 мес.,1 дн.",Мужской,21
1914,SU197053,Департамент телекоммуникаций,Сервис,Первая линия,Инженер технической поддержки,нет,"1 г., 3 мес.,7 дн.",Мужской,21
1918,SU133983,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,,Менеджер по продвижению решений,нет,"4 г., 11 мес.,25 дн.",Мужской,30
1921,SU93864,Департамент продаж и менеджмента проектов,,группа администраторов проектов по ИТ-системам и программным решениям,Руководитель группы,РМ,"7 г., 0 мес.,30 дн.",Женский,31
1924,SU2546,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Системный архитектор,нет,"19 г., 11 мес.,10 дн.",Мужской,48
1934,SU197195,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа системных инженеров,Ведущий системный инженер,нет,"1 г., 2 мес.,4 дн.",Мужской,34
1935,SU37403,Департамент разработки программного обеспечения,Управление контентом и документооборот,,Руководитель направления «Управление контентом и документооборот»,РМ,"14 г., 8 мес.,24 дн.",Мужской,37
1941,SU195213,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,Младший инженер,нет,"1 г., 10 мес.,19 дн.",Мужской,22
1942,SU155295,Департамент внутренней автоматизации,,центральная служба технической поддержки,Администратор,нет,"3 г., 10 мес.,23 дн.",Женский,25
1950,SU196634,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,Сервис-менеджер,нет,"1 г., 5 мес.,23 дн.",Мужской,26
1956,SU190424,Департамент телекоммуникаций,Сервис,Инженеры технической поддержки (аутсорсинг),Старший инженер технической поддержки,нет,"2 г., 1 мес.,26 дн.",Мужской,28
1963,SU177919,Департамент инженерных и мультимедийных систем,технические менеджеры по инженерным системам,,Технический менеджер,нет,"2 г., 10 мес.,19 дн.",Мужской,36
1964,SU40844,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Руководитель группы,РМ,"12 г., 6 мес.,27 дн.",Мужской,35
1965,SU40092,Департамент разработки программного обеспечения,Интеграционные решения,группа разработки,Ведущий аналитик,нет,"13 г., 6 мес.,27 дн.",Мужской,48
1968,SU195407,Департамент инфраструктурных решений и сервисов,группа обеспечения сервисных контрактов,,Пресейл-инженер,нет,"1 г., 10 мес.,13 дн.",Женский,26
1973,SU42458,Департамент телекоммуникаций,,группа сетевых решений,Ведущий инженер,нет,"13 г., 9 мес.,8 дн.",Мужской,47
1975,SU189633,Департамент инженерных и мультимедийных систем,группа сервиса,,Инженер,нет,"2 г., 2 мес.,17 дн.",Мужской,24
1978,SU77981,Департамент бизнес-приложений,,группа консультантов по производству,Эксперт,нет,"7 г., 10 мес.,23 дн.",Мужской,39
1979,SU79740,Департамент продаж и менеджмента проектов,,группа администраторов проектов по инженерным и мультимедийным системам,Ведущий администратор проектов,нет,"8 г., 11 мес.,25 дн.",Женский,31
1981,SU131450,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа внедренцев,Старший консультант по внедрению,нет,"5 г., 0 мес.,7 дн.",Женский,40
1982,SU43268,Департамент бизнес-приложений,,Группа аналитиков и консультантов по внедрению Big Data и BI,Эксперт,нет,"11 г., 10 мес.,6 дн.",Мужской,50
1987,SU196567,Департамент внутренней автоматизации,,группа автоматизации производственных процессов,Консультант по внедрению,нет,"1 г., 6 мес.,8 дн.",Мужской,21
1994,SU129249,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа аналитиков и внедренцев,Старший системный аналитик,нет,"5 г., 1 мес.,6 дн.",Женский,26
2002,SU158616,Департамент внутренней автоматизации,,группа разработки бизнес-приложений,Ведущий инженер-разработчик,нет,"3 г., 7 мес.,1 дн.",Мужской,41
2003,SU196628,Департамент маркетинга,группа событийного маркетинга,,Менеджер по организации маркетинговых мероприятий,нет,"1 г., 5 мес.,14 дн.",Женский,22
2004,SU47615,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа аналитиков и внедренцев,Младший системный аналитик,нет,"12 г., 11 мес.,29 дн.",Женский,35
2012,SU130689,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа разработчиков,Инженер-разработчик,нет,"5 г., 0 мес.,17 дн.",Мужской,25
2013,SU196933,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа управления облачными проектами,Менеджер облачных проектов,нет,"1 г., 2 мес.,15 дн.",Мужской,26
2016,SU49347,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа внедренцев,Руководитель группы,РМ,"12 г., 8 мес.,17 дн.",Мужской,34
2018,SU198612,Департамент внутренней автоматизации,,центральная служба технической поддержки,Младший инженер технической поддержки,нет,"0 г., 6 мес.,24 дн.",Мужской,20
2020,SU94628,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,"Ведущий инженер, Тимлид",ТЛ,"7 г., 0 мес.,8 дн.",Мужской,32
2023,SU3514,Департамент инженерных и мультимедийных систем,Технические менеджеры по мультимедийным системам,,Технический менеджер,нет,"21 г., 2 мес.,22 дн.",Мужской,44
2042,SU197822,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,Инженер технической поддержки,нет,"0 г., 11 мес.,8 дн.",Мужской,38
2046,SU177038,Департамент бизнес-приложений,группа технических менеджеров по 1С,,Технический менеджер,нет,"2 г., 10 мес.,10 дн.",Мужской,40
2073,SU184288,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Старший системный инженер,нет,"2 г., 8 мес.,4 дн.",Мужской,35
2080,SU74488,Департамент разработки программного обеспечения,Интеграционные решения,,Технический менеджер,РМ,"10 г., 0 мес.,23 дн.",Мужской,34
2088,SU103239,Департамент телекоммуникаций,Сервис,группа техподдержки сетей передачи данных,Системный инженер,нет,"6 г., 3 мес.,7 дн.",Мужской,27
2089,SU91572,Департамент внутренней автоматизации,,центральная служба технической поддержки,Ведущий инженер технической поддержки,нет,"7 г., 7 мес.,10 дн.",Мужской,31
2092,SU1321,Служба сопровождения проектной документации,,,"Ведущий технический писатель, Тимлид",ТЛ,"16 г., 8 мес.,24 дн.",Женский,47
2098,SU196855,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа сопровождения ИТ-инфраструктур,Инженер,нет,"1 г., 3 мес.,29 дн.",Мужской,23
2099,SU152405,Департамент разработки программного обеспечения,,группа системных инженеров,Эксперт,нет,"4 г., 0 мес.,24 дн.",Мужской,34
2100,SU152538,Департамент разработки программного обеспечения,Интеграционные решения,группа разработки,Старший инженер-разработчик,нет,"4 г., 0 мес.,10 дн.",Мужской,29
2108,SU1337,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа технических менеджеров,Старший технический менеджер,РМ,"16 г., 8 мес.,25 дн.",Женский,37
2109,SU175184,Департамент телекоммуникаций,,группа сетевых решений,"Системный инженер, Тимлид",ТЛ,"3 г., 0 мес.,7 дн.",Женский,32
2112,SU130407,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа аналитиков,Старший системный аналитик,нет,"5 г., 0 мес.,18 дн.",Женский,32
2113,SU195645,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа системных инженеров,Старший инженер,нет,"1 г., 10 мес.,10 дн.",Мужской,42
2120,SU1338,Департамент инфраструктурных решений и сервисов,группа инженеров систем управления ИТ-процессами,,Эксперт,нет,"19 г., 6 мес.,25 дн.",Женский,43
2122,SU77790,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа разработчиков,Руководитель группы,РМ,"9 г., 3 мес.,8 дн.",Мужской,34
2128,SU2749,Департамент продаж и менеджмента проектов,,группа управления проектами развития бизнес-процессов,Старший менеджер проектов,нет,"4 г., 2 мес.,28 дн.",Мужской,41
2132,SU3381,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа развития бизнеса,Руководитель группы,РМ,"18 г., 4 мес.,20 дн.",Мужской,44
2133,SU159886,Департамент телекоммуникаций,,группа технических менеджеров,Технический менеджер,нет,"3 г., 7 мес.,21 дн.",Мужской,37
2148,SU167485,Департамент инфраструктурных решений и сервисов,группа разработки частных облаков,,Старший инженер-разработчик,нет,"3 г., 2 мес.,26 дн.",Мужской,42
2153,SU196157,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа тестировщиков,Младший инженер-тестировщик,нет,"1 г., 9 мес.,2 дн.",Женский,22
2158,SU197239,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Младший дежурный инженер ЦОД,нет,"1 г., 2 мес.,11 дн.",Мужской,20
2159,SU198013,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа тестировщиков,Младший инженер-тестировщик,нет,"0 г., 10 мес.,4 дн.",Мужской,22
2161,SU196339,Департамент инфраструктурных решений и сервисов,,группа развития и сопровождения частных облаков,Старший инженер,ТЛ,"1 г., 7 мес.,24 дн.",Мужской,28
2166,SU49670,Департамент телекоммуникаций,,группа унифицированных коммуникаций,"Старший менеджер по продвижению решений, Тимлид",ТЛ,"12 г., 7 мес.,28 дн.",Мужской,35
2169,SU192865,Департамент разработки программного обеспечения,Интеграционные решения,группа разработки,Старший инженер-разработчик,нет,"1 г., 11 мес.,18 дн.",Мужской,26
2171,SU162213,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров технической поддержки по информационной безопасности,Старший инженер технической поддержки,нет,"3 г., 6 мес.,6 дн.",Мужской,26
2175,SU91453,Департамент бизнес-приложений,,Группа аналитиков и консультантов по внедрению Big Data и BI,Ведущий консультант по внедрению бизнес-приложений,нет,"7 г., 7 мес.,4 дн.",Женский,29
2182,SU64935,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки продаж облачных сервисов,Аналитик,нет,"11 г., 6 мес.,20 дн.",Женский,34
2205,SU197100,Департамент телекоммуникаций,Сервис,Первая линия,Инженер технической поддержки,нет,"1 г., 2 мес.,30 дн.",Мужской,21
2208,SU125797,Департамент разработки программного обеспечения,,группа развития бизнеса,Директор по трансформации департамента разработки,нет,"5 г., 2 мес.,10 дн.",Мужской,34
2216,SU141659,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа аналитиков и внедренцев,Системный аналитик,нет,"4 г., 7 мес.,5 дн.",Женский,36
2235,SU141050,Департамент маркетинга,группа цифрового маркетинга,,Старший менеджер по партнерскому маркетингу,нет,"4 г., 7 мес.,9 дн.",Мужской,38
2242,SU197475,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа системных инженеров,Инженер,нет,"1 г., 1 мес.,4 дн.",Женский,33
2246,SU196623,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,"Старший системный инженер, Тимлид",ТЛ,"1 г., 5 мес.,15 дн.",Мужской,36
2254,SU136932,Департамент телекоммуникаций,,группа технических менеджеров,Технический менеджер,нет,"4 г., 9 мес.,12 дн.",Женский,38
2257,SU72746,Департамент телекоммуникаций,Сервис,группа развития,Менеджер по продвижению решений,нет,"10 г., 3 мес.,16 дн.",Мужской,41
2258,SU72082,Департамент по работе с персоналом,,,Заместитель директора департамента по операционному управлению,РМ,"10 г., 5 мес.,20 дн.",Женский,33
2259,SU143070,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа технических менеджеров,Технический менеджер,нет,"4 г., 6 мес.,3 дн.",Мужской,47
2262,SU88160,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа внедренцев,"Старший консультант по внедрению, Тимлид",ТЛ,"8 г., 3 мес.,12 дн.",Мужской,29
2266,SU90980,Департамент маркетинга,контакт-центр,,Руководитель группы,РМ,"7 г., 8 мес.,30 дн.",Женский,28
2278,SU197955,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа инженеров разработки облака,Инженер,нет,"0 г., 10 мес.,12 дн.",Мужской,27
2282,SU163247,Департамент бизнес-приложений,,группа консультантов по финансам,Ведущий консультант по внедрению бизнес-приложений,нет,"3 г., 5 мес.,12 дн.",Мужской,42
2283,SU1242,Департамент по работе с персоналом,отдел кадров,,"Заместитель руководителя отдела кадров по оперативным вопросам, Тимлид администраторов",ТЛ,"17 г., 6 мес.,16 дн.",Женский,38
2290,SU2644,Департамент внутренней автоматизации,,группа системных администраторов,Ведущий инженер,нет,"17 г., 11 мес.,1 дн.",Мужской,40
2293,SU180139,Департамент продаж и менеджмента проектов,,группа управления проектами по телекоммуникациям,Менеджер проектов,нет,"2 г., 10 мес.,5 дн.",Женский,41
2296,SU166810,Служба качества,,,Старший специалист,нет,"3 г., 3 мес.,6 дн.",Женский,25
2304,SU77156,Департамент бизнес-приложений,,группа консультантов по производству,Эксперт,нет,"6 г., 1 мес.,12 дн.",Мужской,43
2305,SU163991,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по защите инфраструктуры,Старший системный инженер,нет,"3 г., 4 мес.,4 дн.",Мужской,29
2316,SU176838,Департамент внутренней автоматизации,,центральная служба технической поддержки,Старший инженер технической поддержки,нет,"2 г., 11 мес.,14 дн.",Мужской,25
2322,SU153661,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа аналитиков,Старший системный аналитик,ТЛ,"3 г., 11 мес.,25 дн.",Женский,50
2324,SU152323,Департамент внутренней автоматизации,,группа разработки 1С,Инженер-разработчик,нет,"4 г., 0 мес.,25 дн.",Женский,26
2325,SU196508,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Старший системный инженер,нет,"1 г., 5 мес.,27 дн.",Мужской,45
2327,SU153746,Департамент по работе с персоналом,,Внутренние коммуникации,"Ведущий менеджер по внутренним коммуникациям, Тимлид",РМ,"3 г., 11 мес.,23 дн.",Женский,25
2337,SU133329,Департамент телекоммуникаций,Цифровое производство,группа инженеров цифрового производства,Инженер,нет,"4 г., 11 мес.,24 дн.",Женский,33
2339,SU157701,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа разработчиков,Старший инженер-разработчик,нет,"3 г., 8 мес.,21 дн.",Мужской,23
2342,SU79952,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа технических менеджеров,Технический менеджер,РМ,"9 г., 4 мес.,9 дн.",Мужской,44
2352,SU3022,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа развития бизнеса,Ведущий менеджер по работе с партнерами,нет,"17 г., 5 мес.,11 дн.",Женский,37
2357,SU176358,Департамент продаж и менеджмента проектов,,группа управления проектами по вычислительной инфраструктуре ЦОД,Старший менеджер проектов,нет,"2 г., 10 мес.,12 дн.",Мужской,35
2369,SU100524,Административно-эксплуатационный департамент,"Служба охраны труда, пожарной безопасности и гражданской обороны",,"Руководитель службы охраны труда, Тимлид",РМ,"6 г., 5 мес.,30 дн.",Женский,30
2385,SU154901,Департамент инфраструктурных решений и сервисов,группа разработки частных облаков,,Ведущий инженер-разработчик,нет,"3 г., 11 мес.,2 дн.",Мужской,31
2393,SU191740,Департамент инфраструктурных решений и сервисов,Информационная безопасность,Центр мониторинга безопасности,Эксперт,ТЛ,"2 г., 0 мес.,11 дн.",Мужской,37
2401,SU191300,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки СУБД,Старший технический менеджер,РМ,"2 г., 0 мес.,29 дн.",Мужской,34
2402,SU169155,Департамент продаж и менеджмента проектов,,группа администраторов проектов по ИТ-системам и программным решениям,Старший администратор проектов,нет,"3 г., 2 мес.,8 дн.",Женский,30
2403,SU124169,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Дежурный инженер ЦОД,нет,"5 г., 2 мес.,25 дн.",Мужской,24
