,Дата оформления заказа,Код сотрудника,Департамент,Наименование товара,Стоимость в валюте,Скидка,Количество,Категория,Статус товара
16617,17.09.2023 2:54,SU168524,ДБП.группа технических менеджеров по 1С и автоматизации бизнес-процессов,Бомбер КРОК Hard,2500,0,1,В стиле КРОК,закончился
16624,15.09.2023 18:21,SU176,ДПМП.группа управления проектами по техническому консалтингу,Ежедневник,0,0,1,Мерч и сувениры КРОК,закончился
16626,15.09.2023 16:47,SU89907,ДРПО.ГИС.росстат.группа тестировщиков,Подписка Яндекс плюс  ,200,0,1,Поймай баланс,закончился
16627,15.09.2023 16:44,SU2507,ДРПО.ГИС.суды. группа технических менеджеров,Футболка,500,0,1,В стиле КРОК,закончился
16633,15.09.2023 11:53,SU194794,ДРПО.ГИС.выборы. группа разработчиков,Шоппер  ,0,0,1,Мерч и сувениры КРОК,закончился
16642,15.09.2023 9:38,SU157951,ДБП.группа технических менеджеров по 1С и автоматизации бизнес-процессов,Шоппер  ,0,0,1,Мерч и сувениры КРОК,закончился
16644,15.09.2023 9:25,SU125797,ДРПО.группа развития бизнеса,Худи КРОК Hard,1500,0,1,В стиле КРОК,закончился
16645,14.09.2023 19:52,SU196919,ДРПО.ГИС.росстат. группа разработчиков,Футболка КРОК Hard,800,0,1,В стиле КРОК,закончился
16653,14.09.2023 15:32,SU196634,ДИРС.группа управления сервисными проектами,Робот-пылесос Xiaomi ,0,0,1,Сервис,закончился
16654,14.09.2023 15:31,SU196937,ДИРС.Облачные сервисы.группа управления облачными проектами,E-mail адрес,50,0,1,Сервис,закончился
16655,14.09.2023 15:28,SU109788,ДРПО.ГИС.росстат.группа тестировщиков,Ежедневник,0,0,1,Мерч и сувениры КРОК,закончился
16657,14.09.2023 15:05,SU82602,ДРПО.ГИС.выборы. группа внедренцев,Спортивная футболка,700,0,1,В стиле КРОК,закончился
16658,14.09.2023 14:58,SU67486,ДИМС.группа инженеров по мультимедийным системам,Кофе КРОК ,150,0,1,Сервис,закончился
16659,14.09.2023 14:53,SU319,ДТК.Цифровое производство.группа инженеров цифрового производства,Бомбер КРОК Hard,2500,0,1,В стиле КРОК,закончился
16662,14.09.2023 14:00,SU86966,ДИРС.Информационная безопасность.группа технических менеджеров по информационной безопасности,Подписка Яндекс плюс  ,200,0,1,Поймай баланс,закончился
16674,14.09.2023 12:12,SU171484,ДБП.группа консультантов по финансам,Чехол на пропуск Soft&Hard ,350,0,1,В стиле КРОК,закончился
16683,14.09.2023 9:11,SU197195,ДИРС.Разработка инфраструктурных продуктов.группа системных инженеров,Welcome-набор с кружкой и сумкой,0,0,1,Без категории,закончился
16695,13.09.2023 16:18,SU68156,ДИРС.Облачные сервисы.группа управления облачными проектами,Ежедневник,0,0,1,Мерч и сувениры КРОК,закончился
16696,13.09.2023 16:17,SU68156,ДИРС.Облачные сервисы.группа управления облачными проектами,"Значок ""Путь""",0,0,1,Лучше вместе,на витрине
16697,13.09.2023 16:16,SU68156,ДИРС.Облачные сервисы.группа управления облачными проектами,Рюкзак КРОК Creative thoughts,0,0,1,Мерч и сувениры КРОК,закончился
16700,13.09.2023 15:15,SU44113,ДВА.группа разработки 1С,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
16702,13.09.2023 14:42,SU40133,ДРПО.ГИС.росстат. группа аналитиков,Худи КРОК Soft,1500,0,1,В стиле КРОК,закончился
16712,13.09.2023 11:54,SU197496,ДИРС.группа инженеров систем управления ИТ-процессами, Welcome-набор с кружкой и футболкой ,0,0,1,Без категории,закончился
16713,13.09.2023 11:08,SU72283,ДРПО.ГИС.суды. группа тестировщиков,Кружка Hard,900,0,1,В стиле КРОК,закончился
16714,13.09.2023 11:08,SU72283,ДРПО.ГИС.суды. группа тестировщиков,Кружка Hard,900,0,1,В стиле КРОК,закончился
16715,13.09.2023 11:06,SU72283,ДРПО.ГИС.суды. группа тестировщиков,Худи КРОК Hard,1500,0,1,В стиле КРОК,закончился
16716,13.09.2023 11:06,SU72283,ДРПО.ГИС.суды. группа тестировщиков,"Значок ""Путь""",0,0,1,Лучше вместе,на витрине
16717,13.09.2023 11:05,SU72283,ДРПО.ГИС.суды. группа тестировщиков,Рюкзак Hard,3000,0,1,В стиле КРОК,закончился
16725,13.09.2023 10:10,SU197515,ДИРС.группа обеспечения сервисных контрактов, Welcome-набор с чехлом и футболкой ,0,0,1,Без категории,закончился
16726,13.09.2023 9:57,SU177919,ДИМС.технические менеджеры по инженерным системам,Коффер,0,0,1,Мерч и сувениры КРОК,закончился
16727,13.09.2023 9:54,SU177919,ДИМС.технические менеджеры по инженерным системам,Худи КРОК Soft,1500,0,1,В стиле КРОК,закончился
16729,13.09.2023 8:31,SU154792,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Свитшот + Шоппер,0,0,1,Мерч и сувениры КРОК,закончился
16731,12.09.2023 18:56,SU56641,ДТК.Сервис.группа технической поддержки телефонии и Call-центров,Рюкзак КРОК Creative thoughts,0,0,1,Мерч и сувениры КРОК,закончился
16739,12.09.2023 15:27,SU40133,ДРПО.ГИС.росстат. группа аналитиков,Рюкзак КРОК Creative thoughts,0,0,1,Мерч и сувениры КРОК,закончился
16741,12.09.2023 14:29,SU190424,ДТК.Сервис.инженеры технической поддержки (аутсорсинг),E-mail адрес,50,0,1,Сервис,закончился
16742,12.09.2023 14:24,SU190424,ДТК.Сервис.инженеры технической поддержки (аутсорсинг),Внешний аккумулятор Xiaomi,2200,0,1,Прокачай эффективность,закончился
16745,12.09.2023 14:02,SU196951,ДТК.Сервис.инженеры технической поддержки (аутсорсинг), Welcome-набор с чехлом и футболкой ,0,0,1,Без категории,закончился
16747,12.09.2023 13:41,SU190424,ДТК.Сервис.инженеры технической поддержки (аутсорсинг),Беспроводная зарядная станция 6 в 1,2200,0,1,Прокачай эффективность,закончился
16754,12.09.2023 12:09,SU2785,ДРПО.ГИС.цифровые экосистемы.группа тестировщиков,Кофе коллеге,150,0,1,Лучше вместе,закончился
16755,12.09.2023 12:06,SU167324,ДИРС.Информационная безопасность.Центр мониторинга безопасности,Кофе коллеге,150,0,1,Лучше вместе,закончился
16756,12.09.2023 11:51,SU49779,ДТК.Сервис.группа управления сервисными проектами,Беспроводные наушники с активным шумоподавлением,3000,0,1,Прокачай эффективность,закончился
16762,12.09.2023 10:31,SU1575,ДРПО.Управление контентом и документооборот.группа внедренцев,Ежедневник,0,0,1,Мерч и сувениры КРОК,закончился
16775,11.09.2023 18:11,SU153901,ДИРС.Информационная безопасность.группа развития бизнеса,Шапочка для плавания 1̶5̶0̶,150,0,1,В стиле КРОК,закончился
16779,11.09.2023 17:02,SU154115,"АЭД.служба охраны труда, пожарной безопасности и гражданской обороны",Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
16781,11.09.2023 16:46,SU93218,ДМ.группа маркетологов,Шоппер  ,0,0,1,Мерч и сувениры КРОК,закончился
16789,11.09.2023 14:54,SU44374,ДТК.группа сетевых решений,Пуф Крок ,3000,0,1,В стиле КРОК,закончился
16790,11.09.2023 13:48,SU65368,ДИМС.Группа электроснабжения и климатических систем,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
16792,11.09.2023 13:23,SU162184,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Ежедневник,0,0,1,Мерч и сувениры КРОК,закончился
16793,11.09.2023 12:34,SU2531,ДРПО.ГИС.росстат. группа технических менеджеров,Спортивная футболка,700,0,1,В стиле КРОК,закончился
16794,11.09.2023 12:26,SU2531,ДРПО.ГИС.росстат. группа технических менеджеров,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
16795,11.09.2023 12:25,SU2531,ДРПО.ГИС.росстат. группа технических менеджеров,Худи КРОК Hard,1500,0,1,В стиле КРОК,закончился
16798,11.09.2023 10:58,SU93687,ФД.отдел бюджетирования и оптимизации финансового учета,Рюкзак КРОК Creative thoughts,0,0,1,Мерч и сувениры КРОК,закончился
16799,11.09.2023 10:45,SU174144,ДРПО.Управление контентом и документооборот.группа внедренцев,Коффер,0,0,1,Мерч и сувениры КРОК,закончился
16801,11.09.2023 10:25,SU126189,ДБП.группа аналитиков по автоматизации бизнес-процессов,Кофе КРОК ,150,0,1,Сервис,закончился
16802,11.09.2023 10:25,SU126189,ДБП.группа аналитиков по автоматизации бизнес-процессов,Кофе КРОК ,150,0,1,Сервис,закончился
16803,11.09.2023 10:12,SU184940,ДРПО.группа системных инженеров,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
16805,11.09.2023 9:54,SU135732,ДИРС.Разработка инфраструктурных продуктов.группа продвижения решений,Кофе КРОК ,150,0,1,Сервис,закончился
16807,11.09.2023 7:22,SU135732,ДИРС.Разработка инфраструктурных продуктов.группа продвижения решений,Подписка Яндекс плюс  ,200,0,1,Поймай баланс,закончился
16810,09.09.2023 21:17,SU189154,ДИРС.группа инженеров по инфраструктурному ПО,Боброклад,0,0,1,Без категории,закончился
16811,09.09.2023 21:16,SU189154,ДИРС.группа инженеров по инфраструктурному ПО,Боброклад,0,0,1,Без категории,закончился
16814,08.09.2023 17:39,SU79740,ДПМП.группа администраторов проектов по инженерным и мультимедийным системам,Puzzle Movies,450,0,1,Развивай себя,закончился
16815,08.09.2023 16:59,SU1242,ДРП.отдел кадров,Свитшот + Шоппер,0,0,1,Мерч и сувениры КРОК,закончился
16817,08.09.2023 15:54,SU93814,ДИРС.группа инженеров по вычислительной инфраструктуре,Ежедневник,0,0,1,Мерч и сувениры КРОК,закончился
16820,08.09.2023 13:52,SU45502,ДРПО.ГИС.росстат.группа тестировщиков,Коффер,0,0,1,Мерч и сувениры КРОК,закончился
16822,08.09.2023 12:38,SU174745,ДИРС.группа инженеров по ИТ-инфраструктуре и мониторингу,"Значок ""Маяк""",0,0,1,Лучше вместе,на витрине
16825,08.09.2023 11:09,SU184940,ДРПО.группа системных инженеров,Рюкзак Hard,3000,0,1,В стиле КРОК,закончился
16826,08.09.2023 10:56,SU175926,ДБП.группа аналитиков по автоматизации бизнес-процессов,Кофе коллеге,150,0,1,Лучше вместе,закончился
16827,08.09.2023 10:55,SU187392,ДБП.группа аналитиков по автоматизации бизнес-процессов,Кофе коллеге,150,0,1,Лучше вместе,закончился
16828,08.09.2023 10:19,SU40092,ДРПО.Интеграционные решения.группа разработки,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
16829,07.09.2023 23:51,SU155531,ДРПО.ГИС.росстат. группа разработчиков,Коффер,0,0,1,Мерч и сувениры КРОК,закончился
16831,07.09.2023 16:14,SU171484,ДБП.группа консультантов по финансам,Чехол на пропуск Soft&Hard ,350,0,1,В стиле КРОК,закончился
16839,07.09.2023 13:41,SU183772,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,Спортивная футболка,700,0,1,В стиле КРОК,закончился
16842,07.09.2023 13:37,SU176,ДПМП.группа управления проектами по техническому консалтингу,Спортивная футболка,700,0,1,В стиле КРОК,закончился
16843,07.09.2023 13:34,SU165856,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,Спортивная футболка,700,0,1,В стиле КРОК,закончился
16844,07.09.2023 12:56,SU79952,ДРПО.ГИС.цифровые экосистемы.группа технических менеджеров,Рюкзак КРОК Creative thoughts,0,0,1,Мерч и сувениры КРОК,закончился
16845,07.09.2023 12:48,SU82602,ДРПО.ГИС.выборы. группа внедренцев,Спортивная футболка,700,0,1,В стиле КРОК,закончился
16847,07.09.2023 12:04,SU162213,ДИРС.Информационная безопасность.группа инженеров технической поддержки по информационной безопасности,Кофе КРОК ,150,0,1,Сервис,закончился
16849,07.09.2023 12:03,SU83894,ДВА.центральная служба технической поддержки,Кофе КРОК ,150,0,1,Сервис,закончился
16850,07.09.2023 11:48,SU187392,ДБП.группа аналитиков по автоматизации бизнес-процессов,Кофе КРОК ,150,0,1,Сервис,закончился
16851,07.09.2023 11:39,SU93814,ДИРС.группа инженеров по вычислительной инфраструктуре,Спортивная футболка,700,0,1,В стиле КРОК,закончился
16852,07.09.2023 11:33,SU93814,ДИРС.группа инженеров по вычислительной инфраструктуре,Спортивная футболка,700,0,1,В стиле КРОК,закончился
16854,07.09.2023 10:55,SU156986,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Кофе КРОК ,150,0,1,Сервис,закончился
16856,07.09.2023 9:43,SU192341,ДТК.Сервис.группа управления сервисными проектами,Худи КРОК Hard,1500,0,1,В стиле КРОК,закончился
16859,07.09.2023 9:11,SU196702,ДРПО.группа системных инженеров,Коффер,0,0,1,Мерч и сувениры КРОК,закончился
16861,07.09.2023 0:36,SU197284,ДИРС.Облачные сервисы.группа разработки облака, Welcome-набор с чехлом и футболкой ,0,0,1,Без категории,закончился
16862,06.09.2023 20:58,SU41337,"ДРПО.Практика ""Time and Material"".группа тестировщиков",Буквоед,1300,0,2,Развивай себя,закончился
16863,06.09.2023 19:24,SU168342,ДПМП.группа управления проектами по вычислительной инфраструктуре ЦОД,Кофе КРОК ,150,0,1,Сервис,закончился
16864,06.09.2023 18:02,SU165854,ДИРС.группа клиентского сервиса,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
16868,06.09.2023 16:57,SU169156,ДБП.группа поддержки продаж,Коффер,0,0,1,Мерч и сувениры КРОК,закончился
16874,06.09.2023 15:22,SU171242,ДРПО.ГИС.выборы. группа разработчиков,Ежедневник,0,0,1,Мерч и сувениры КРОК,закончился
16883,06.09.2023 13:24,SU56641,ДТК.Сервис.группа технической поддержки телефонии и Call-центров,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
16890,06.09.2023 11:05,SU187392,ДБП.группа аналитиков по автоматизации бизнес-процессов,Кофе КРОК ,150,0,1,Сервис,закончился
16892,06.09.2023 9:54,SU187392,ДБП.группа аналитиков по автоматизации бизнес-процессов,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
16896,06.09.2023 9:26,SU47615,ДРПО.ГИС.суды. группа аналитиков и внедренцев,Спортивная футболка,700,0,1,В стиле КРОК,закончился
16898,06.09.2023 8:42,SU102278,ДТК.Сервис.группа технической поддержки телефонии и Call-центров,Спортивная футболка,700,0,1,В стиле КРОК,закончился
16906,05.09.2023 19:13,SU176,ДПМП.группа управления проектами по техническому консалтингу,Спортивная футболка,700,0,1,В стиле КРОК,закончился
16912,05.09.2023 18:17,SU158754,Служба качества,Футболка,500,0,1,В стиле КРОК,закончился
16922,05.09.2023 13:21,SU49347,ДРПО.Управление контентом и документооборот.группа внедренцев,Свитшот + Шоппер,0,0,1,Мерч и сувениры КРОК,закончился
16924,05.09.2023 13:17,SU49670,ДТК.группа унифицированных коммуникаций,Носки Soft&Hard,200,0,1,В стиле КРОК,закончился
16925,05.09.2023 12:55,SU163534,ДИРС.Информационная безопасность.группа аналитиков по информационной безопасности,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
16928,05.09.2023 11:46,SU196623,ДИРС.группа инженеров по инфраструктурному ПО,Боброклад,0,0,5,Без категории,закончился
16933,05.09.2023 11:27,SU176,ДПМП.группа управления проектами по техническому консалтингу,Чехол на пропуск Soft&Hard ,350,0,1,В стиле КРОК,закончился
16936,05.09.2023 11:18,SU162213,ДИРС.Информационная безопасность.группа инженеров технической поддержки по информационной безопасности,Кофе КРОК ,150,0,1,Сервис,закончился
16947,05.09.2023 10:21,SU77659,ДПМП.группа администраторов BackOffice,Ежедневник,0,0,1,Мерч и сувениры КРОК,закончился
16948,05.09.2023 10:16,SU33903,ДИРС.группа развития направления “Управление ИТ-процессами”,Шоппер  ,0,0,1,Мерч и сувениры КРОК,закончился
16949,05.09.2023 10:13,SU197449,ДРП.отдел кадров, Welcome-набор с кружкой и футболкой ,0,0,1,Без категории,закончился
16952,05.09.2023 9:48,SU196801,ДБП.группа консультантов по производству, Welcome-набор с кружкой и футболкой ,0,0,1,Без категории,закончился
16957,05.09.2023 9:13,SU170682,ДПМП.группа управления проектами по построению корпоративных систем,Беспроводная зарядная станция 6 в 1,2200,0,1,Прокачай эффективность,закончился
16959,05.09.2023 8:57,SU161990,ДИРС.группа SRE-инженеров,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
16968,04.09.2023 19:22,SU165750,ДИРС.группа инженеров по инфраструктурному ПО,Рюкзак КРОК Creative thoughts,0,0,1,Мерч и сувениры КРОК,закончился
16977,04.09.2023 19:01,SU1777,ДТК.группа сетевых решений,Рюкзак КРОК Creative thoughts,0,0,1,Мерч и сувениры КРОК,закончился
16979,04.09.2023 18:51,SU601,ДПМП.группа управления проектами по телекоммуникациям,Кофе коллеге,150,0,1,Лучше вместе,закончился
16981,04.09.2023 18:47,SU71145,ДИРС.группа UNIX и Open Source,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
16983,04.09.2023 18:44,SU40207,ДИРС.группа управления сервисными проектами,Ежедневник,0,0,1,Мерч и сувениры КРОК,закончился
16986,04.09.2023 18:26,SU151338,ДПМП.группа администраторов BackOffice,Внешний аккумулятор Xiaomi,2200,0,1,Прокачай эффективность,закончился
16987,04.09.2023 17:50,SU47615,ДРПО.ГИС.суды. группа аналитиков и внедренцев,Футболка КРОК Hard,800,0,1,В стиле КРОК,закончился
16988,04.09.2023 17:49,SU47615,ДРПО.ГИС.суды. группа аналитиков и внедренцев,Футболка КРОК Hard,800,0,1,В стиле КРОК,закончился
16989,04.09.2023 17:49,SU47615,ДРПО.ГИС.суды. группа аналитиков и внедренцев,Футболка КРОК Hard,800,0,1,В стиле КРОК,закончился
16992,04.09.2023 14:15,SU196950,ДБП.группа технических менеджеров по 1С и автоматизации бизнес-процессов, Welcome-набор с чехлом и сумкой,0,0,1,Без категории,закончился
16993,04.09.2023 13:53,SU106458,ДПМП.группа управления проектами по вычислительной инфраструктуре ЦОД,Коффер,0,0,1,Мерч и сувениры КРОК,закончился
16994,04.09.2023 13:18,SU100524,"АЭД.служба охраны труда, пожарной безопасности и гражданской обороны",Ежедневник,0,0,1,Мерч и сувениры КРОК,закончился
16997,04.09.2023 12:15,SU184288,ДИРС.группа инженеров по инфраструктурному ПО,Внешний аккумулятор Xiaomi,2200,0,1,Прокачай эффективность,закончился
16998,04.09.2023 12:11,SU184288,ДИРС.группа инженеров по инфраструктурному ПО,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
17000,04.09.2023 12:10,SU196758,ДВА.группа разработки бизнес-приложений,Боброклад,0,0,1,Без категории,закончился
17002,04.09.2023 11:59,SU153581,ДВА.группа разработки бизнес-приложений,"Значок ""Компас""",0,0,1,Лучше вместе,на витрине
17005,04.09.2023 11:30,SU163991,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Кофе коллеге,150,0,1,Лучше вместе,закончился
17006,04.09.2023 11:30,SU177919,ДИМС.технические менеджеры по инженерным системам,Кружка Hard,900,0,1,В стиле КРОК,закончился
17008,04.09.2023 10:53,SU319,ДТК.Цифровое производство.группа инженеров цифрового производства,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17010,04.09.2023 10:39,SU47615,ДРПО.ГИС.суды. группа аналитиков и внедренцев,Боброклад,0,0,5,Без категории,закончился
17011,04.09.2023 10:38,SU47615,ДРПО.ГИС.суды. группа аналитиков и внедренцев,Худи КРОК Hard,1500,0,1,В стиле КРОК,закончился
17012,04.09.2023 10:22,SU102278,ДТК.Сервис.группа технической поддержки телефонии и Call-центров,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17013,04.09.2023 9:06,SU166795,ДВА.группа аналитиков 1С,Беспроводные наушники с активным шумоподавлением,3000,0,1,Прокачай эффективность,закончился
17014,03.09.2023 13:14,SU196615,ДИРС.группа клиентского сервиса,Чехол на пропуск Soft&Hard ,350,0,1,В стиле КРОК,закончился
17016,02.09.2023 9:22,SU189733,ДИРС.Облачные сервисы.группа эксплуатации облачных сервисов,Стикерпак Soft&Hard ,25,0,1,В стиле КРОК,закончился
17017,02.09.2023 0:34,SU101142,ДИРС.группа инженеров по вычислительной инфраструктуре,Боброклад,0,0,6,Без категории,закончился
17018,01.09.2023 23:16,SU195213,ДИРС.группа инженеров по вычислительной инфраструктуре,Стикерпак Soft&Hard ,25,0,1,В стиле КРОК,закончился
17019,01.09.2023 23:09,SU195213,ДИРС.группа инженеров по вычислительной инфраструктуре,Худи КРОК Soft,1500,0,1,В стиле КРОК,закончился
17026,01.09.2023 16:34,SU196741,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17027,01.09.2023 16:24,SU102278,ДТК.Сервис.группа технической поддержки телефонии и Call-центров,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17030,01.09.2023 15:59,SU190424,ДТК.Сервис.инженеры технической поддержки (аутсорсинг),Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17035,01.09.2023 14:57,SU158754,Служба качества,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17037,01.09.2023 14:42,SU106878,ДПМП.группа администраторов проектов по ИТ-системам и программным решениям,Боброклад,0,0,5,Без категории,закончился
17038,01.09.2023 14:31,SU445,ДИМС.технические менеджеры по инженерным системам,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17041,01.09.2023 14:15,SU158552,ДИРС.группа управления сервисными проектами,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17042,01.09.2023 14:02,SU173162,ДБП.группа консультантов по автоматизации бизнес-процессов,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17043,01.09.2023 14:00,SU319,ДТК.Цифровое производство.группа инженеров цифрового производства,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17044,01.09.2023 13:52,SU101142,ДИРС.группа инженеров по вычислительной инфраструктуре,Коффер,0,0,1,Мерч и сувениры КРОК,закончился
17048,01.09.2023 13:44,SU183772,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17051,01.09.2023 13:05,SU189913,ДИРС.Информационная безопасность.группа аналитиков по информационной безопасности,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17052,01.09.2023 12:53,SU175926,ДБП.группа аналитиков по автоматизации бизнес-процессов,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17054,01.09.2023 12:41,SU176,ДПМП.группа управления проектами по техническому консалтингу,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17055,01.09.2023 12:41,SU153746,ДРП.Внутренние коммуникации,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17056,01.09.2023 12:41,SU44716,ДТК.Сервис.группа управления сервисными проектами,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17057,01.09.2023 12:37,SU43713,"ДРПО.КИС.Практика ""Медицинские информационные системы""",Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17059,01.09.2023 12:36,SU126189,ДБП.группа аналитиков по автоматизации бизнес-процессов,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17060,01.09.2023 12:26,SU1338,ДИРС.группа инженеров систем управления ИТ-процессами,Доставка до рабочего места,50,0,1,Сервис,закончился
17061,01.09.2023 12:23,SU100415,ДИРС.Разработка инфраструктурных продуктов.группа маркетинга,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17062,01.09.2023 12:23,SU196069,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,Набор для классного руководителя,450,0,3,В стиле КРОК,закончился
17064,01.09.2023 12:21,SU196634,ДИРС.группа управления сервисными проектами,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17069,01.09.2023 12:10,SU2531,ДРПО.ГИС.росстат. группа технических менеджеров,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17070,01.09.2023 12:08,SU196232,ДИМС.Группа электроснабжения и климатических систем,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17072,01.09.2023 12:07,SU3224,Служба сопровождения проектной документации,Набор для классного руководителя,150,0,1,В стиле КРОК,закончился
17073,01.09.2023 12:06,SU145719,ДТК.группа технических менеджеров,Подписка Яндекс плюс  ,200,0,1,Поймай баланс,закончился
17084,01.09.2023 10:11,SU67486,ДИМС.группа инженеров по мультимедийным системам,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
17085,01.09.2023 9:55,SU101116,ДИРС.группа инженеров поддержки баз данных,Рюкзак КРОК Creative thoughts,0,0,1,Мерч и сувениры КРОК,закончился
17087,01.09.2023 9:38,SU1603,ДРПО.ГИС.суды. группа аналитиков и внедренцев,Беспроводные наушники с активным шумоподавлением,3000,0,1,Прокачай эффективность,закончился
17090,01.09.2023 9:30,SU177858,ДБП.группа разработки по Data и DWH,Рюкзак Hard,3000,0,1,В стиле КРОК,закончился
17091,01.09.2023 9:23,SU175926,ДБП.группа аналитиков по автоматизации бизнес-процессов,Кофе КРОК ,150,0,1,Сервис,закончился
17094,01.09.2023 1:43,SU101039,ДВА.группа управления проектами,Свитшот + Шоппер,0,0,1,Мерч и сувениры КРОК,закончился
17100,31.08.2023 15:45,SU146059,ДИРС.Разработка инфраструктурных продуктов.группа разработки,Свежевыжатый сок КРОК,150,0,1,Сервис,закончился
17104,31.08.2023 14:40,SU162213,ДИРС.Информационная безопасность.группа инженеров технической поддержки по информационной безопасности,Кофе КРОК ,150,0,1,Сервис,закончился
17105,31.08.2023 14:34,SU168342,ДПМП.группа управления проектами по вычислительной инфраструктуре ЦОД,Кофе коллеге,150,0,1,Лучше вместе,закончился
17106,31.08.2023 14:24,SU82781,ДРПО.ГИС.росстат. группа разработчиков,Бомбер КРОК Hard,2500,0,1,В стиле КРОК,закончился
17107,31.08.2023 13:27,SU148131,ДПМП.группа управления проектами по программному консалтингу,Кофе коллеге,150,0,1,Лучше вместе,закончился
17110,31.08.2023 12:46,SU75251,ДБП.группа технических менеджеров по BigData,Бомбер КРОК Hard,2500,0,1,В стиле КРОК,закончился
17111,31.08.2023 12:46,SU75251,ДБП.группа технических менеджеров по BigData,Худи КРОК Hard,1500,0,1,В стиле КРОК,закончился
17116,31.08.2023 11:31,SU331,ДРПО.группа развития бизнеса,Командный сет пицц,5500,0,5,Лучше вместе,закончился
17121,31.08.2023 10:34,SU195407,ДИРС.группа обеспечения сервисных контрактов,Шоппер  ,0,0,1,Мерч и сувениры КРОК,закончился
17122,31.08.2023 10:21,SU93864,ДПМП.группа администраторов проектов по ИТ-системам и программным решениям,Беспроводные наушники с активным шумоподавлением,3000,0,1,Прокачай эффективность,закончился
17129,31.08.2023 9:07,SU76490,ДВА.группа автоматизации производственных процессов,Худи КРОК Soft,1500,0,1,В стиле КРОК,закончился
17131,30.08.2023 22:47,SU83196,ДБП.группа консультантов по производству,Кружка Hard,900,0,1,В стиле КРОК,закончился
17135,30.08.2023 19:45,SU196069,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,Ресторан Novikov.Group,0,0,1,Сервис,закончился
17136,30.08.2023 18:51,SU125797,ДРПО.группа развития бизнеса,Сертификат в СПА-салон,0,0,1,Сервис,закончился
17140,30.08.2023 16:36,SU162213,ДИРС.Информационная безопасность.группа инженеров технической поддержки по информационной безопасности,Кофе КРОК ,150,0,1,Сервис,закончился
17143,30.08.2023 15:24,SU193920,ДБП.группа технических менеджеров по 1С и автоматизации бизнес-процессов,Пуф Крок ,3000,0,1,В стиле КРОК,закончился
17154,30.08.2023 12:16,SU196997,ДРПО.группа системных инженеров,Футболка КРОК Soft,800,0,1,В стиле КРОК,закончился
17155,30.08.2023 12:12,SU175926,ДБП.группа аналитиков по автоматизации бизнес-процессов,Кофе КРОК ,150,0,1,Сервис,закончился
17156,30.08.2023 12:10,SU187392,ДБП.группа аналитиков по автоматизации бизнес-процессов,Кофе КРОК ,150,0,1,Сервис,закончился
